time_sec,cell_id,prb_util_pct,ue_count,load_variance,avg_dl_throughput_bps,cdr
23,2,96.4286,3,1.56185,19712,0
23,3,96.4286,3,1.56185,19712,0
23,4,100,2,1.56185,19712,0
23,5,96.4286,3,1.56185,19712,0
23,6,96.4286,3,1.56185,19712,0
23,7,96.4286,3,1.56185,19712,0
23,8,96.4286,3,1.56185,19712,0
24,2,96.4286,3,1.56185,19968,0
24,3,96.4286,3,1.56185,19968,0
24,4,96.4286,3,1.56185,19968,0
24,5,96.4286,3,1.56185,19968,0
24,6,96.4286,3,1.56185,19968,0
24,7,96.4286,3,1.56185,19968,0
24,8,100,2,1.56185,19968,0
25,2,96.4286,3,1.56185,19136,0
25,3,96.4286,3,1.56185,19136,0
25,4,96.4286,3,1.56185,19136,0
25,5,96.4286,3,1.56185,19136,0
25,6,96.4286,3,1.56185,19136,0
25,7,96.4286,3,1.56185,19136,0
25,8,100,2,1.56185,19136,0
26,2,96.4286,3,1.56185,19968,0
26,3,96.4286,3,1.56185,19968,0
26,4,96.4286,3,1.56185,19968,0
26,5,96.4286,3,1.56185,19968,0
26,6,96.4286,3,1.56185,19968,0
26,7,96.4286,3,1.56185,19968,0
26,8,100,2,1.56185,19968,0
27,2,96.4286,3,1.56185,19072,0
27,3,100,2,1.56185,19072,0
27,4,96.4286,3,1.56185,19072,0
27,5,96.4286,3,1.56185,19072,0
27,6,96.4286,3,1.56185,19072,0
27,7,96.4286,3,1.56185,19072,0
27,8,96.4286,3,1.56185,19072,0
28,2,96.4286,3,1.56185,18880,0
28,3,100,2,1.56185,18880,0
28,4,96.4286,3,1.56185,18880,0
28,5,96.4286,3,1.56185,18880,0
28,6,96.4286,3,1.56185,18880,0
28,7,96.4286,3,1.56185,18880,0
28,8,96.4286,3,1.56185,18880,0
29,2,96.4286,3,1.56185,20160,0
29,3,100,2,1.56185,20160,0
29,4,96.4286,3,1.56185,20160,0
29,5,96.4286,3,1.56185,20160,0
29,6,96.4286,3,1.56185,20160,0
29,7,96.4286,3,1.56185,20160,0
29,8,96.4286,3,1.56185,20160,0
30,2,96.4286,3,1.56185,19904,0
30,3,96.4286,3,1.56185,19904,0
30,4,100,2,1.56185,19904,0
30,5,96.4286,3,1.56185,19904,0
30,6,96.4286,3,1.56185,19904,0
30,7,96.4286,3,1.56185,19904,0
30,8,96.4286,3,1.56185,19904,0
31,2,100,2,1.56185,19648,0
31,3,96.4286,3,1.56185,19648,0
31,4,96.4286,3,1.56185,19648,0
31,5,96.4286,3,1.56185,19648,0
31,6,96.4286,3,1.56185,19648,0
31,7,96.4286,3,1.56185,19648,0
31,8,96.4286,3,1.56185,19648,0
32,2,100,4,3.1237,19392,0
32,3,100,2,3.1237,19392,0
32,4,100,2,3.1237,19392,0
32,5,96.4286,3,3.1237,19392,0
32,6,96.4286,3,3.1237,19392,0
32,7,96.4286,3,3.1237,19392,0
32,8,96.4286,3,3.1237,19392,0
33,2,96.4286,3,1.56185,19840,0
33,3,96.4286,3,1.56185,19840,0
33,4,96.4286,3,1.56185,19840,0
33,5,96.4286,3,1.56185,19840,0
33,6,96.4286,3,1.56185,19840,0
33,7,96.4286,3,1.56185,19840,0
33,8,100,2,1.56185,19840,0
34,2,96.4286,3,1.56185,19456,0
34,3,100,2,1.56185,19456,0
34,4,96.4286,3,1.56185,19456,0
34,5,96.4286,3,1.56185,19456,0
34,6,96.4286,3,1.56185,19456,0
