Time,IMSI,Level,Qual,SNR,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,serving_cell,best_neigh_cell
1.05,13,-50.9603,0,28.6334,15,-65.1209,4.82441,-65.1209,0,22,0,273280,20,5,6
1.05,14,-44.4119,0,51.5608,15,-64.3873,6.05586,-64.3873,0,35,73728,74176,20,6,5
1.05,15,-61.967,0,10.1173,7.32604,-67.2264,1.27734,-67.2264,0,120.993,0,195200,20,6,7
1.05,16,-50.8865,0,42.7421,15,-63.5784,7.42645,-63.5784,0,60,49152,48800,20,6,5
1.05,17,-55.9012,0,20.3236,11.9653,-61.7294,22.1058,-61.7294,0,20,0,117120,20,7,8
1.05,18,-53.7594,0,23.9264,13.6029,-62.6155,9.03851,-62.6155,0,15,22528,25376,20,7,8
1.05,19,-52.9125,0,38.9373,15,-64.6822,5.57034,-64.6822,0,105,0,39040,20,7,6
1.05,20,-54.2375,0,36.3788,15,-62.6536,20.344,-62.6536,0,25,0,0,20,8,2
1.1,2,-49.1118,0,31.7557,15,-63.6652,7.27066,-63.6652,0,30,241664,232288,20,2,8
1.1,3,-56.2338,0,19.7704,11.7138,-62.0553,9.97664,-62.0553,0,18,0,0,20,2,6
1.1,4,-58.2689,0,16.3594,10.1634,-67.2301,1.27762,-67.2301,0,110,215040,208864,20,3,4
1.1,5,-54.967,0,21.9091,12.686,-61.8064,10.3914,-61.8064,0,38,0,0,20,3,4
1.1,6,-44.2608,0,51.7399,15,-64.3594,6.098,-64.3594,0,65,190464,183488,20,3,8
1.1,7,-53.8099,0,23.8463,13.5665,-62.5236,9.19459,-62.5236,0,60,0,0,20,4,3
1.1,9,-48.8858,0,32.1179,15,-63.6559,7.28845,-63.6559,0,75,0,0,20,4,3
1.1,10,-58.1287,0,29.0069,15,-61.6746,10.6059,-61.6746,0,135,139264,134688,20,4,3
1.1,1,-39.163,0,56.7862,15,-64.8396,5.29636,-64.8396,0,55,0,0,20,5,2
1.1,8,-59.2976,0,26.7684,15,-64.9866,5.06398,-64.9866,0,130,163840,160064,20,5,6
1.1,11,-41.3546,0,54.6697,15,-64.6175,5.66395,-64.6175,0,90,0,0,20,5,6
1.1,12,-49.478,0,31.1298,15,-63.594,7.38986,-63.594,0,45,112640,111264,20,5,6
1.1,13,-51.0131,0,28.5455,15,-65.0887,4.87816,-65.0887,0,22,0,312320,20,5,6
