uuid,sim,time_sec,ue_id,from_cell,to_cell,is_correct
cc175fb4-97f2-482c-a6b2-d239b3e9f6ba,sim015,85.963,6,6,7,True
fbe2f005-3050-4d46-a376-9b86de2ed28b,sim015,86.6045,19,6,7,True
410f2b9c-1419-4fae-9cf0-640998a5a99b,sim015,86.6045,12,6,5,True
f811e56b-c7a0-4460-be7c-d9716813c065,sim015,86.919,7,4,5,True
d6226128-2c69-4452-b90b-81f0825f024a,sim015,88.2628,2,5,6,True
41eff653-81d9-4b0d-9b60-0077fc855e8f,sim015,88.3045,8,5,7,True
8b3860b7-325f-41d3-9d88-bd06f2aa4e0a,sim015,89.27,16,2,7,True
70fcacc2-27f2-41cc-bfd6-12a4d101a110,sim015,90.1048,4,4,5,True
5464c3c8-a715-4f88-842c-a03f465ed918,sim015,90.2188,13,6,7,True
279eed41-42ec-49db-9e02-78d92c3ae268,sim015,90.665,15,5,4,True
c0e58611-20c6-4491-8693-982bc54ca91d,sim015,90.7048,9,6,5,True
fd25b0f3-2ee0-4caf-ad97-fbbb1e29fc71,sim015,90.8635,1,4,5,True
f40fc990-889e-42cd-8b3a-720a1f29bb1c,sim015,90.9545,17,8,7,True
f688bc57-374f-4bad-8fc2-48a2ecf59374,sim015,91.063,10,8,3,True
4b6ddb94-db5b-4d59-9689-453607dd5379,sim015,91.5683,3,2,4,True
47b4de46-92a1-404a-aa57-7564569ed7ea,sim015,91.6185,6,7,6,True
8a023c07-0cac-4ee3-93d3-ffb8fbba8a40,sim015,91.662,12,5,4,True
37fc0d3d-7d67-454e-b982-9648213d7e1b,sim015,91.663,19,7,6,True
74cca613-e0d7-4589-8567-3f871bea97fb,sim015,92.568,11,5,6,True
884fdb14-b324-4211-8061-169565e86459,sim015,93.5678,2,6,5,True
b081d7e6-8c8b-4619-a3dc-9391806f2bf9,sim015,94.3633,5,3,8,True
2be7b730-dc15-41f5-8675-cd4afd032395,sim015,95.0655,8,7,2,True
6010d3cf-716a-4366-9dbd-336d16cea2b4,sim015,95.2053,4,5,6,True
6012afdb-725b-4c28-b548-d6478bc75fda,sim015,95.6115,20,7,6,True
d4328e9b-8301-4b42-8e01-74e06aa946e3,sim015,95.8133,9,5,2,True
71901f81-6f1c-467d-aeb9-1ad5cd25bfa9,sim015,96.16,10,3,2,True
ef64e453-244f-4501-8c95-eea19246ea2a,sim015,96.5125,15,4,3,True
b5845cd2-de5d-490f-ab9a-d43d24b8a1e5,sim015,96.563,13,7,6,True
923c1f7c-bae5-42e8-bf1e-d5434b7e7466,sim015,96.7545,6,6,7,True
dc521068-d291-4ca1-a1ab-92120fda5c7f,sim015,96.7545,19,6,7,True
b93f253b-26fe-4405-b34c-0d5b4588679c,sim015,96.8665,7,5,6,True
e82cb88a-2286-42f2-88ac-78c77f7600a7,sim015,97.3135,14,5,6,False
4a111248-d177-4c3e-8d3b-4816709946c9,sim015,99.0665,3,4,3,False
80c5ffce-1a90-4402-a11e-824f7e2b592e,sim015,99.4115,5,8,3,True
79f6a8ac-1f60-4069-a1d2-50325b5f179b,sim015,99.6148,2,5,2,True
7da3bc2a-cbb7-4770-9b27-15e0b029befa,sim015,99.7148,16,7,6,True
f7c6be3a-a32d-4be4-97ef-1849995401ca,sim015,100.161,8,2,5,True
196bfce1-5320-4440-93cf-5c6b55f9c855,sim015,100.167,11,6,7,True
c10136f0-3dc1-4bdd-b73e-9617fbf51aaa,sim015,100.267,4,6,7,False
7dd69e58-5d86-4bd7-b541-817e85ec4be3,sim015,100.615,20,6,7,True
2175169e-9ca5-4c7f-8908-91dd8f08be2d,sim015,100.867,9,2,4,True
eaef8d70-c960-4bcb-9df8-7b0d70ae51fb,sim015,101.212,10,2,5,True
98e309cd-216d-4168-9a2f-ebaafcf45714,sim015,101.562,15,3,2,True
99a1ec47-88bb-487e-8d7e-e64248fe5301,sim015,101.815,19,7,8,True
3e725ac0-5ccf-46ae-84d0-bfbddf1f4c07,sim015,101.862,13,6,7,False
f9597516-0ad5-4eea-9e50-4abd5caf4040,sim015,102.068,7,6,5,True
dbbbeabd-f1e4-447c-805f-f3649d708d79,sim015,102.311,14,6,5,True
9883df6a-5a50-4d3b-b1ac-d833bcf2583c,sim015,102.513,17,7,2,True
4d60ee9b-fa40-4181-914a-577409ad1de5,sim015,103.519,12,4,3,True
dfbc953e-cbde-4c15-88e3-03764e3a67ef,sim015,104.063,3,3,4,True
52816ebb-b9d4-48ef-ab2a-b120cda5e838,sim015,104.164,6,7,2,True
990a94aa-4122-4a8b-b003-e486cb0e8d11,sim015,104.415,18,2,7,True
35fc3b1b-b4d2-45bf-8387-32b930b36e44,sim015,104.915,5,3,8,True
